id,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region
7214,MYM,Monkey Mountain Airport,4.483329773,-59.68330002,SA,GY,GY-PT
7215,MWJ,Matthews Ridge Airport,7.488112,-60.184777,SA,GY,GY-BA
7216,SYN,Stanton Airfield,44.4754982,-93.01629639,NA,US,US-MN
7217,QSX,New Amsterdam Airport,6.244324,-57.474172,SA,GY,GY-EB
7218,ORJ,Orinduik Airport,4.72527,-60.035,SA,GY,GY-PT
7219,PMT,Paramakatoi Airport,4.6975,-59.7125,SA,GY,GY-PT
7220,PRR,Paruma Airport,5.815450191,-61.05540085,SA,GY,GY-CU
7221,SDC,Sand Creek Airport,2.9913,-59.51,SA,GY,GY-UT
7222,SKM,Skeldon Airport,5.8599,-57.14894,SA,GY,GY-EB
7223,SZN,Santa Cruz Island Airport,34.060197,-119.915321,NA,US,US-CA
7224,SZP,Santa Paula Airport,34.34719849,-119.060997,NA,US,US-CA
7225,TAA,Tarapaina Airport,-9.414,161.358,OC,SB,SB-ML
7226,ANU,V.C. Bird International Airport,17.1367,-61.792702,NA,AG,AG-03
7227,BBQ,Codrington Airport,17.635799,-61.828602,NA,AG,AG-10
7228,TBA,Tabibuga Airport,-5.5766,144.6508,OC,PG,PG-JI
7229,TBE,Timbunke Airport,-4.196633,143.519222,OC,PG,PG-ESW
7230,BGI,Grantley Adams International Airport,13.0746,-59.4925,NA,BB,BB-01
7231,TBQ,Tarabo Airport,-6.466666667,145.5322222,OC,PG,PG-EHG
7232,TBV,Tabal Airstrip,8.3027,171.1615,OC,MH,MH-AUR
7233,TCK,Tinboli Airport,-4.0949,143.3838,OC,PG,PG-ESW
7234,TCT,Takotna Airport,62.993206,-156.029026,NA,US,US-AK
7235,TDB,Tetebedi Airport,-9.1586,148.0686,OC,PG,PG-NPP
7236,DCF,Canefield Airport,15.33670044,-61.39220047,NA,DM,DM-10
7237,DOM,Douglas-Charles Airport,15.547,-61.299999,NA,DM,DM-02
7238,TDS,Sasereme Airport,-7.6217,142.868,OC,PG,PG-WPD
7239,TEO,Terapo Airport,-8.169722222,146.1944444,OC,PG,PG-GPK
7240,TFB,Tifalmin Airport,-5.1173,141.419,OC,PG,PG-SAN
7241,DSD,La Désirade Airport,16.296902,-61.0844,NA,GP,GP-U-A
7242,BBR,Baillif Airport,16.01329994,-61.74219894,NA,GP,GP-U-A
7243,SFC,St-François Airport,16.25779915,-61.26250076,NA,GP,GP-U-A
7244,FDF,Martinique Aimé Césaire International Airport,14.5909996,-61.00320053,NA,MQ,MQ-U-A
7245,SFG,L'Espérance Airport,18.099899,-63.047199,NA,MF,MF-U-A
7246,SBH,Gustaf III Airport / Saint Barthélemy Rémy de Haenen Airport,17.9044,-62.843601,NA,BL,BL-U-A
7247,GBJ,Les Bases Airport,15.86870003,-61.27000046,NA,GP,GP-U-A
7248,PTP,Pointe-à-Pitre Le Raizet,16.265301,-61.531799,NA,GP,GP-U-A
7249,LSS,Terre-de-Haut Airport,15.86439991,-61.58060074,NA,GP,GP-U-A
7250,TFY,Tarfaya Airport,27.9487,-12.9166,AF,MA,MA-LAA
7251,TGL,Tagula Airport,-11.33111111,153.2029167,OC,PG,PG-MBA
7252,GND,Point Salines International Airport,12.00419998,-61.78620148,NA,GD,GD-GE
7253,CRU,Lauriston Airport,12.47609997,-61.47280121,NA,GD,GD-PA
7254,THW,Trincomalee Harbor Waterdrome,8.56,81.22,AS,LK,LK-5
7255,TIG,Tingwon Airport,-2.6053,149.7107,OC,PG,PG-NIK
7256,STT,Cyril E. King Airport,18.33729935,-64.9733963,NA,VI,VI-U-A
7257,STX,Henry E Rohlsen Airport,17.70190048,-64.79859924,NA,VI,VI-U-A
7258,ARE,Antonio Nery Juarbe Pol Airport,18.45000076,-66.6753006,NA,PR,PR-U-A
7259,BQN,Rafael Hernandez Airport,18.49489975,-67.12940216,NA,PR,PR-U-A
7260,TJC,Ticantiki Airport,9.4185,-78.4896,NA,PA,PA-KY
7261,VQS,Vieques Airport,18.11580086,-65.42269897,NA,PR,PR-U-A
7262,CPX,Benjamin Rivera Noriega Airport,18.313289,-65.304324,NA,PR,PR-U-A
7263,FAJ,Diego Jimenez Torres Airport,18.30890083,-65.66190338,NA,PR,PR-U-A
7264,SIG,Fernando Luis Ribas Dominicci Airport,18.45680046,-66.09809875,NA,PR,PR-U-A
7265,MAZ,Eugenio Maria De Hostos Airport,18.25569916,-67.14849854,NA,PR,PR-U-A
7266,PSE,Mercedita Airport,18.00830078,-66.56300354,NA,PR,PR-U-A
7267,NRR,José Aponte de la Torre Airport,18.24530029,-65.6434021,NA,PR,PR-U-A
7268,SJU,Luis Munoz Marin International Airport,18.43939972,-66.00180054,NA,PR,PR-U-A
7269,VQS,Antonio Rivera Rodriguez Airport,18.13479996,-65.49359894,NA,PR,PR-U-A
7270,TKE,Tenakee Seaplane Base,57.77970123,-135.2180023,NA,US,US-AK
7271,TKL,Taku Lodge Seaplane Base,58.48970032,-133.9429932,NA,US,US-AK
7272,SKB,Robert L. Bradshaw International Airport,17.31119919,-62.71870041,NA,KN,KN-U-A
7273,NEV,Vance W. Amory International Airport,17.20569992,-62.58990097,NA,KN,KN-U-A
7274,TLP,Tumolbil Airport,-4.7748,141.0133,OC,PG,PG-SAN
7275,SLU,George F. L. Charles Airport,14.0202,-60.992901,NA,LC,LC-02
7276,UVF,Hewanorra International Airport,13.7332,-60.952599,NA,LC,LC-11
7277,TLT,Tuluksak Airport,61.09680176,-160.9689941,NA,US,US-AK
7278,NBE,Enfidha - Hammamet International Airport,36.075833,10.438611,AF,TN,TN-51
7279,AUA,Queen Beatrix International Airport,12.5014,-70.015198,NA,AW,AW-U-A
7280,BON,Flamingo International Airport,12.131,-68.268501,NA,BQ,BQ-U-A
7281,CUR,Hato International Airport,12.1889,-68.959801,NA,CW,CW-U-A
7282,EUX,F. D. Roosevelt Airport,17.49650002,-62.97940063,NA,BQ,BQ-U-A
7283,SXM,Princess Juliana International Airport,18.04100037,-63.10889816,NA,SX,SX-U-A
7284,SAB,Juancho E. Yrausquin Airport,17.64500046,-63.22000122,NA,BQ,BQ-U-A
7285,TNW,Jumandy Airport,-1.059722,-77.583333,SA,EC,EC-N
7286,TOK,Torokina Airport,-6.2015,155.063,OC,PG,PG-NSB
7287,TOV,Tortola West End Seaplane Base,18.45,-64.583333,NA,VG,VG-U-A
7288,PTA,Port Alsworth Airport,60.201681,-154.325863,NA,US,US-AK
7289,TPT,Tapeta Airport,6.4948,-8.873,AF,LR,LR-NI
7290,AXA,Clayton J Lloyd International Airport,18.2048,-63.055099,NA,AI,AI-U-A
7291,BGG,Bingöl Çeltiksuyu Airport,38.85926056,40.59596252,AS,TR,TR-12
7292,OGU,Ordu Giresun Airport,40.966047,38.080994,AS,TR,TR-52
7293,IGD,Iğdır Airport,39.97662735,43.87664795,AS,TR,TR-76
7294,MNI,John A. Osborne Airport,16.79140091,-62.19329834,NA,MS,MS-U-A
7295,TSG,Tanacross Airport,63.37440109,-143.3359985,NA,US,US-AK
7296,TSI,Tsile Tsile Airport,-6.8498,146.3554,OC,PG,PG-MPL
7297,TSK,Taskul Airport,-2.546,150.4553,OC,PG,PG-SAN
7298,TAB,Tobago-Crown Point Airport,11.14970016,-60.8321991,NA,TT,TT-WTO
7299,POS,Piarco International Airport,10.59539986,-61.33720016,NA,TT,TT-TUP
